Identifier,name,iso_region,State Abbreviation,State,City,Wikipedia Description,type,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,column_13,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
00CL,Williams Ag Airport,US-CA,CA,California,Biggs,,small_airport,39.427188,-121.763427,87,NA,US,,no,,,00CL,00CL,,,
01J,Hilliard Airpark,US-FL,FL,Florida,Hilliard,,small_airport,30.685568,-81.906346,59,NA,US,,no,,,K01J,01J,,https://en.wikipedia.org/wiki/Hilliard_Airpark,
01SC,York Airport,US-SC,SC,South Carolina,York,,small_airport,35.03210068,-81.25279999,779,NA,US,,no,,,01SC,01SC,,,
01TE,Smith Field,US-TX,TX,Texas,Forney,,small_airport,32.737598,-96.428001,505,NA,US,,no,,,01TE,01TE,,,02F
02MD,Garner Field,US-MD,MD,Maryland,Brandywine,,small_airport,38.672544,-76.709739,141,NA,US,,no,,,02MD,02MD,,,
05KY,Cartersville Airport,US-KY,KY,Kentucky,Paint Lick,,small_airport,37.53575,-84.407303,1070,NA,US,,no,,,05KY,05KY,,,
06TN,Hunter Airport,US-TN,TN,Tennessee,Columbia,,small_airport,35.696962,-86.957767,640,NA,US,,no,,,06TN,06TN,,,"Hunter Field, Hunter's Field, Hunter STOLport"
06XS,Campbell Field,US-TX,TX,Texas,Aubrey,,small_airport,33.322933,-97.045019,546,NA,US,,no,,,06XS,06XS,,,
0C8,Cushing Field Ltd Airport,US-IL,IL,Illinois,Newark,,small_airport,41.519501,-88.605598,640,NA,US,,no,,,0C8,0C8,,https://en.wikipedia.org/wiki/Cushing_Field,
0CA3,Crawford Airport,US-CA,CA,California,Santa Ynez,,small_airport,34.58750153,-120.0130005,570,NA,US,,no,,,0CA3,0CA3,,,
0MI8,Twin Lakes Airport,US-MI,MI,Michigan,Lewiston,,small_airport,44.894115,-84.297818,1275,NA,US,,no,,,,MI55,,,0MI8
0N0,Roosterville Airport,US-MO,MO,Missouri,Liberty,,small_airport,39.29109955,-94.44219971,1004,NA,US,,no,,,0N0,0N0,,,
0NM0,Columbus Airport,US-NM,NM,New Mexico,Columbus,,small_airport,31.823898,-107.629924,4024,NA,US,,no,,CUS,0NM0,0NM0,,https://en.wikipedia.org/wiki/Columbus_Municipal_Airport_(New_Mexico),
0OK9,Crystal Airport,US-OK,OK,Oklahoma,Jennings,,small_airport,36.21340179,-96.63700104,1016,NA,US,,no,,,0OK9,0OK9,,,
0OR7,Marr Field,US-OR,OR,Oregon,Monmouth,,small_airport,44.85400009,-123.2639999,275,NA,US,,no,,,0OR7,0OR7,,,
0SD1,Lodi Airport,US-SD,SD,South Dakota,Wakonda,,small_airport,42.971995,-96.979857,1200,NA,US,,no,,,0SD1,0SD1,,,
0TE2,Bell Helicopter Hurst Heliport,US-TX,TX,Texas,Hurst,,heliport,32.80009842,-97.16699982,524,NA,US,,no,,,0TE2,0TE2,,,
10XA,Sterling Airport,US-TX,TX,Texas,Port Lavaca,,small_airport,28.680794,-96.661647,30,NA,US,,no,,,10XA,10XA,,,
12CL,Newton Field,US-CA,CA,California,Stratford,,small_airport,36.1568985,-119.8499985,194,NA,US,,no,,,12CL,12CL,,,
15G,Weltzien Skypark Airport,US-OH,OH,Ohio,Wadsworth,,small_airport,41.028278,-81.798077,1210,NA,US,,no,,,15G,15G,,https://en.wikipedia.org/wiki/Weltzien_Skypark,
16X,Propwash Airport,US-TX,TX,Texas,Justin,,small_airport,33.0807,-97.358902,800,NA,US,,no,,,16X,16X,,https://en.wikipedia.org/wiki/Propwash_Airport,Formerly 16XS
17S,Chehalem Airpark,US-OR,OR,Oregon,Newberg,,small_airport,45.32369995,-123.0540009,190,NA,US,,no,,,17S,17S,,https://en.wikipedia.org/wiki/Chehalem_Airpark,
18SC,American Dream Skyranch Airport,US-SC,SC,South Carolina,Ninety Six,,small_airport,34.097769,-81.891542,450,NA,US,,no,,,18SC,18SC,,,
19VA,Flying W Airport,US-VA,VA,Virginia,Castlewood,,small_airport,36.88882,-82.300558,1760,NA,US,,no,,,19VA,19VA,,,
1II3,Davis Airport,US-IN,IN,Indiana,Carlisle,,small_airport,38.957918,-87.394602,500,NA,US,,no,,,1II3,1II3,,,
1IL4,Flight Park Inc Airport,US-IL,IL,Illinois,Millstadt,,small_airport,38.418701,-90.131203,631,NA,US,,no,,,1IL4,1IL4,http://www.1il4.com/,,"Heitman Aerdrome, Riebeling Airport"
1K1,Lloyd Stearman Field,US-KS,KS,Kansas,Benton,,small_airport,37.7779007,-97.1135025,1364,NA,US,,no,,,1K1,1K1,,https://en.wikipedia.org/wiki/Lloyd_Stearman_Field,
1L4,Kidwell Airport,US-NV,NV,Nevada,Cal Nev Ari,,small_airport,35.305547,-114.88236,2605,NA,US,,no,,,K1L4,1L4,,https://en.wikipedia.org/wiki/Kidwell_Airport,
1P1,Plymouth Municipal Airport,US-NH,NH,New Hampshire,Plymouth,,small_airport,43.778299,-71.753919,505,NA,US,,no,,,K1P1,1P1,,https://en.wikipedia.org/wiki/Plymouth_Municipal_Airport_(New_Hampshire),
1S8,Arlington Municipal Airport,US-OR,OR,Oregon,Arlington,,small_airport,45.722683,-120.176418,890,NA,US,,no,,,,1S8,,https://en.wikipedia.org/wiki/Arlington_Municipal_Airport_(Oregon),
1T8,Bulverde Airpark,US-TX,TX,Texas,Bulverde,,small_airport,29.7391,-98.451258,1080,NA,US,,no,,,K1T8,1T8,,,1TT8
1TA7,Thompson Field,US-TX,TX,Texas,Canton,,small_airport,32.61600113,-95.86830139,515,NA,US,,no,,,1TA7,1TA7,,,
1W1,Grove Field,US-WA,WA,Washington,Camas,,small_airport,45.62779999,-122.4039993,429,NA,US,,no,,,1W1,1W1,,https://en.wikipedia.org/wiki/Grove_Field_Airport,
21VA,Eagles Nest Airport,US-VA,VA,Virginia,Cape Charles,,small_airport,37.303382,-75.93574,40,NA,US,,no,,,21VA,21VA,,,
26N,Ocean City Municipal Airport,US-NJ,NJ,New Jersey,Ocean City,,small_airport,39.2635,-74.607498,5,NA,US,,no,,,K26N,26N,https://www.ocnj.us/MunicipalAirport,https://en.wikipedia.org/wiki/Ocean_City_Municipal_Airport_(New_Jersey),
26NC,Boonville Airport,US-NC,NC,North Carolina,Boonville,,small_airport,36.22290039,-80.71559906,1003,NA,US,,no,,,26NC,26NC,,,
26W,Wolf Lake Airport,US-MI,MI,Michigan,Napoleon,,small_airport,42.20970154,-84.23169708,980,NA,US,,no,,,26W,26W,,,
27MI,Miller Field,US-MI,MI,Michigan,Vassar,,small_airport,43.37279892,-83.48660278,705,NA,US,,no,,,27MI,27MI,,,
28A,Goose Creek Airport,US-NC,NC,North Carolina,Indian Trail,,small_airport,35.12099838,-80.58730316,565,NA,US,,no,,,28A,28A,,,
2B2,Plum Island Airport,US-MA,MA,Massachusetts,Newburyport,,small_airport,42.795898,-70.841202,11,NA,US,,no,,,2B2,2B2,,https://en.wikipedia.org/wiki/Plum_Island_Airport,
2CL3,Longbell Ranch Airport,US-CA,CA,California,Macdoel,,small_airport,41.642101,-121.889999,4607,NA,US,,no,,,2CL3,2CL3,,,
2J9,Quincy Municipal Airport,US-FL,FL,Florida,Quincy,,small_airport,30.5979,-84.557404,221,NA,US,,no,,,2J9,2J9,,https://en.wikipedia.org/wiki/Quincy_Municipal_Airport_(Florida),
2S6,Sportsman Airpark,US-OR,OR,Oregon,Newberg,,small_airport,45.29570007,-122.9550018,181,NA,US,,no,,,2S6,2S6,,https://en.wikipedia.org/wiki/Sportsman_Airpark,
2TN2,Wings Field,US-TN,TN,Tennessee,Whiteville,,small_airport,35.221259,-89.190178,540,NA,US,,no,,,2TN2,2TN2,,,
38AK,Mels Airport,US-AK,AK,Alaska,Wasilla,,small_airport,61.5625,-149.6679993,340,NA,US,,no,,,38AK,38AK,,,
38N,Smyrna Airport,US-DE,DE,Delaware,Smyrna,,small_airport,39.3036,-75.5839,18,NA,US,,no,,,38N,38N,,https://en.wikipedia.org/wiki/Smyrna_Airport_(Delaware),
39IN,Roberts Field,US-IN,IN,Indiana,Sulphur Springs,,small_airport,40.00230026,-85.42890167,1085,NA,US,,no,,,39IN,39IN,,,
3FD9,Prairie Lake Private Residential Seaplane Base,US-FL,FL,Florida,Altamonte Springs,,seaplane_base,28.6567,-81.353401,86,NA,US,,no,,,3FD9,3FD9,,,
40I,Red Stewart Airfield,US-OH,OH,Ohio,Waynesville,,small_airport,39.50529861,-84.12190247,955,NA,US,,no,,,40I,40I,,,
42B,Goodspeed Airport,US-CT,CT,Connecticut,East Haddam,,small_airport,41.446072,-72.45698,9,NA,US,,no,,,,42B,,https://en.wikipedia.org/wiki/Goodspeed_Airport,
43K,Marion Municipal Airport,US-KS,KS,Kansas,Marion,,small_airport,38.337502,-96.991699,1390,NA,US,,no,,,43K,43K,,https://en.wikipedia.org/wiki/Marion_Municipal_Airport_(Kansas),
47TE,Whites Airport,US-TX,TX,Texas,La Ward,,small_airport,28.85169983,-96.49749756,43,NA,US,,no,,,47TE,47TE,,,
49F,Rankin Airport,US-TX,TX,Texas,Rankin,,small_airport,31.2274,-101.953003,2543,NA,US,,no,,,49F,49F,,https://en.wikipedia.org/wiki/Rankin_Airport_(Texas),
4B0,South Albany Airport,US-NY,NY,New York,South Bethlehem,,small_airport,42.56069946,-73.83390045,196,NA,US,,no,,,4B0,4B0,,,
4B9,Simsbury Airport,US-CT,CT,Connecticut,Simsbury,,small_airport,41.915755,-72.777128,195,NA,US,,no,,,,4B9,,https://en.wikipedia.org/wiki/Simsbury_Airport,
4G2,Hamburg Airport,US-NY,NY,New York,Hamburg,,small_airport,42.70090103,-78.91480255,751,NA,US,,no,,,4G2,4G2,,,
4MD4,Clements Airport,US-MD,MD,Maryland,Clements,,small_airport,38.34059906,-76.73719788,105,NA,US,,no,,,4MD4,4MD4,,,
52Z,Summit Lake Seaplane Base,US-AK,AK,Alaska,Moose Pass,,seaplane_base,60.64110184,-149.496994,1300,NA,US,,no,,,52Z,52Z,,,
54PA,Pine Bottom Heliport,US-PA,PA,Pennsylvania,Martinsburg,,heliport,40.23619843,-78.30529785,1504,NA,US,,no,,,54PA,54PA,,,
58J,Huggins Memorial Airport,US-SC,SC,South Carolina,Timmonsville,,small_airport,34.13769913,-79.92060089,143,NA,US,,no,,,58J,58J,,,
58N,Reigle Field,US-PA,PA,Pennsylvania,Palmyra,,small_airport,40.287601,-76.577499,489,NA,US,,no,,,58N,58N,,https://en.wikipedia.org/wiki/Reigle_Field,
5G0,Le Roy Airport,US-NY,NY,New York,Le Roy,,small_airport,42.9814,-77.9375,780,NA,US,,no,,,5G0,5G0,http://www.leroyairport.com/,https://en.wikipedia.org/wiki/Le_Roy_Airport,
5ND9,Deck Airport,US-ND,ND,North Dakota,Hillsboro,,small_airport,47.48469925,-97.07479858,916,NA,US,,no,,,5ND9,5ND9,,,
60B,Moose River Seaplane Base,US-ME,ME,Maine,Jackman,,seaplane_base,45.63339996,-70.2661972,1157,NA,US,,no,,,60B,60B,,,
63OI,Bowman Field,US-OH,OH,Ohio,Delaware,,small_airport,40.33509827,-83.13600159,965,NA,US,,no,,,63OI,63OI,,,
65LA,Southern Seaplane Airport,US-LA,LA,Louisiana,Belle Chasse,,small_airport,29.866078,-90.021608,,NA,US,,no,,BCS,65LA,65LA,http://southernseaplane.com/cms/?page_id=460,https://en.wikipedia.org/wiki/Southern_Seaplane_Airport,
69N,Slatington Airport,US-PA,PA,Pennsylvania,Slatington,,small_airport,40.763599,-75.604897,380,NA,US,,no,,,,69N,,,
6FL0,Seminole Lake Gliderport,US-FL,FL,Florida,Groveland,,small_airport,28.40579987,-81.83789825,120,NA,US,,no,,,6FL0,6FL0,,,
6K2,Shelby County Airport,US-MO,MO,Missouri,Shelbyville,,small_airport,39.81259918,-92.05020142,766,NA,US,,no,,,6K2,6K2,,https://en.wikipedia.org/wiki/Shelby_County_Airport_(Missouri),
6VA4,Summit Airport,US-VA,VA,Virginia,Salem,,small_airport,37.284355,-80.068882,1030,NA,US,,no,,,6VA4,6VA4,,,Trussmark Airport
70NR,Ruby's Landing,US-NC,NC,North Carolina,Newton Grove,,small_airport,35.218562,-78.366777,144,NA,US,,no,,,70NR,70NR,,,
76N,Skyhaven Airport,US-PA,PA,Pennsylvania,Tunkhannock,,small_airport,41.529202,-75.946899,639,NA,US,,no,,,76N,76N,,https://en.wikipedia.org/wiki/Skyhaven_Airport_(Pennsylvania),
76NY,Independent Heliport,US-NY,NY,New York,New Windsor,,heliport,41.492778,-74.104361,512,NA,US,,no,,,KT27,T27,,,76NY
79TE,Arrowhead Airport,US-TX,TX,Texas,Lagarto,,small_airport,28.11560059,-97.93080139,165,NA,US,,no,,,79TE,79TE,,,
7B3,Hampton Airfield,US-NH,NH,New Hampshire,Hampton,,small_airport,42.961382,-70.830311,93,NA,US,,no,,,K7B3,7B3,,https://de.wikipedia.org/wiki/Hampton_Airfield,
7B9,Ellington Airport,US-CT,CT,Connecticut,Ellington,,small_airport,41.925302,-72.457066,253,NA,US,,no,,,K7B9,7B9,,https://en.wikipedia.org/wiki/Ellington_Airport_(Connecticut),
7I2,Reese Airport,US-IN,IN,Indiana,Muncie,,small_airport,40.155392,-85.318923,991,NA,US,,no,,,K7I2,7I2,,,
7S3,Stark's Twin Oaks Airpark,US-OR,OR,Oregon,Hillsboro,,small_airport,45.42850113,-122.9420013,170,NA,US,,no,,,7S3,7S3,,https://en.wikipedia.org/wiki/Stark's_Twin_Oaks_Airpark,
7TE5,Carlisle Airport,US-TX,TX,Texas,Mullin,,small_airport,31.67919922,-98.66359711,1790,NA,US,,no,,,7TE5,7TE5,,,
84Y,Bloomfield Municipal Airport,US-NE,NE,Nebraska,Bloomfield,,small_airport,42.57878,-97.672739,1673,NA,US,,no,,,84Y,84Y,,https://en.wikipedia.org/wiki/Bloomfield_Municipal_Airport_(Nebraska),
86OH,Westfield Airport,US-OH,OH,Ohio,Westfield Center,,small_airport,41.01279831,-81.92009735,1044,NA,US,,no,,,86OH,86OH,,,
8D4,Paul C. Miller-Sparta Airport,US-MI,MI,Michigan,Sparta,,small_airport,43.127399,-85.679199,775,NA,US,,no,,,8D4,8D4,,https://en.wikipedia.org/wiki/Miller%E2%80%93Sparta_Airport,
8NC9,Western North Carolina Air Museum Airport,US-NC,NC,North Carolina,Hendersonville,,small_airport,35.307855,-82.434263,2083,NA,US,,no,,,8NC9,8NC9,,,
8S4,Enterprise Municipal Airport,US-OR,OR,Oregon,Enterprise,,small_airport,45.42490005,-117.2649994,3957,NA,US,,no,,,8S4,8S4,,https://en.wikipedia.org/wiki/Enterprise_Municipal_Airport_(Oregon),
8Y4,Surfside Seaplane Base,US-MN,MN,Minnesota,Lino Lakes,,seaplane_base,45.15000153,-93.11689758,880,NA,US,,no,,,8Y4,8Y4,,,
9AK7,Cubdivision Airport,US-AK,AK,Alaska,Big Lake,,small_airport,61.58980179,-149.8170013,250,NA,US,,no,,,9AK7,9AK7,,,
9II3,Dillon Airport,US-IN,IN,Indiana,North Liberty,,small_airport,41.5625,-86.47219849,700,NA,US,,no,,,9II3,9II3,,,
9KY9,Paintsville-Prestonsburg-Combs Field,US-KY,KY,Kentucky,Paintsville,,small_airport,37.745743,-82.77797,624,NA,US,,no,,,9KY9,9KY9,,https://en.wikipedia.org/wiki/Paintsville-Prestonsburg_Combs_Field,
9N1,Van Sant Airport,US-PA,PA,Pennsylvania,Erwinna,,small_airport,40.483559,-75.10088,390,NA,US,,no,,,,9N1,,https://en.wikipedia.org/wiki/Van_Sant_Airport,Vansant
9NC0,Raleigh East Airport,US-NC,NC,North Carolina,Knightdale,,small_airport,35.797699,-78.436996,313,NA,US,,no,,,W17,W17,https://www.airnav.com/airport/W17,,9NC0
9Z9,Lawing Airport,US-AK,AK,Alaska,Lawing,,small_airport,60.41109848,-149.3699951,475,NA,US,,no,,,9Z9,9Z9,,,
AK8,Christiansen Lake Seaplane Base,US-AK,AK,Alaska,Talkeetna,,seaplane_base,62.313414,-150.06935,400,NA,US,,no,,,AK8,AK8,,,
AL71,Willow Point Airport,US-AL,AL,Alabama,Our Town,,small_airport,32.80369949,-85.98049927,551,NA,US,,no,,,AL71,AL71,,,
AL74,Grimes Field,US-AL,AL,Alabama,Semmes,,small_airport,30.76440048,-88.30580139,215,NA,US,,no,,,AL74,AL74,,,
AR13,Pearson Field,US-AR,AR,Arkansas,Bigelow,,small_airport,34.98619843,-92.63349915,300,NA,US,,no,,,AR13,AR13,,,
AZ76,Chandler Regional Hospital Heliport,US-AZ,AZ,Arizona,Chandler,,heliport,33.298117,-111.873527,1195,NA,US,,no,,,AZ76,AZ76,,,
C25,Waverly Municipal Airport,US-IA,IA,Iowa,Waverly,,small_airport,42.742001,-92.507896,992,NA,US,,no,,,KC25,C25,,https://en.wikipedia.org/wiki/Waverly_Municipal_Airport,
C82,Bresson Airport,US-IL,IL,Illinois,Compton,,small_airport,41.762501,-89.101501,769,NA,US,,no,,,KC82,C82,,,
C92,Mentone Airport,US-IN,IN,Indiana,Mentone,,small_airport,41.147213,-86.06456,860,NA,US,,no,,,KC92,C92,,,
CA20,Eagle's Nest Airport,US-CA,CA,California,Ione,,small_airport,38.43258,-121.016507,220,NA,US,,no,,,CA20,CA20,,,
CA89,Skylark Airport,US-CA,CA,California,Lake Elsinore,,small_airport,33.632272,-117.300868,1253,NA,US,,no,,,CA89,CA89,,,Skylark Field
D38,Canandaigua Airport,US-NY,NY,New York,Ontario County IDA,,small_airport,42.908902,-77.325226,814,NA,US,,no,,IUA,KIUA,IUA,https://flycanandaigua.com/,https://en.wikipedia.org/wiki/Canandaigua_Airport,Canandaigua Airport
D49,Columbus Municipal Airport,US-ND,ND,North Dakota,Columbus,,small_airport,48.898602,-102.792,1930,NA,US,,no,,,D49,D49,,https://en.wikipedia.org/wiki/Columbus_Municipal_Airport_(North_Dakota),
E66,Maple Grove Heliport,US-MI,MI,Michigan,Fowlerville,,heliport,42.71709824,-84.06189728,908,NA,US,,no,,,E66,E66,,,
F57,Jack Browns Seaplane Base,US-FL,FL,Florida,Winter Haven,,seaplane_base,28.057501,-81.762802,140,NA,US,,no,,,F57,F57,,https://en.wikipedia.org/wiki/Jack_Browns_Seaplane_Base,
F95,Calhoun County Airport,US-FL,FL,Florida,Blountstown,,small_airport,30.486899,-85.113798,118,NA,US,,no,,,KF95,F95,,https://en.wikipedia.org/wiki/Calhoun_County_Airport_(Florida),
FA51,Sky Manor Airport,US-FL,FL,Florida,La Belle,,small_airport,26.739,-81.506203,15,NA,US,,no,,,FA51,FA51,,,William's Sky Manor
FD77,Wimauma Air Park,US-FL,FL,Florida,Wimauma,,small_airport,27.71199989,-82.28289795,100,NA,US,,no,,,FD77,FD77,,,
FL37,Treasure Coast Airpark,US-FL,FL,Florida,Fort Pierce,,small_airport,27.23839951,-80.49140167,30,NA,US,,no,,,FL37,FL37,,,
G05,Finleyville Airpark,US-PA,PA,Pennsylvania,Finleyville,,small_airport,40.2458992,-80.01229858,1240,NA,US,,no,,,G05,G05,,,
GE21,Anderson Airport,US-GA,GA,Georgia,Bainbridge,,small_airport,31.018681,-84.392917,138,NA,US,,no,,,GE21,GE21,,,
I19,Greene County/Lewis A. Jackson Regional Airport,US-OH,OH,Ohio,Dayton,,small_airport,39.690807,-83.992585,949,NA,US,,no,,,KGDK,GDK,http://www.i19airport.com/,,"I19, Xenia"
I83,Salem Municipal Airport,US-IN,IN,Indiana,Salem,,small_airport,38.604253,-86.151042,840,NA,US,,no,,,KI83,I83,,https://en.wikipedia.org/wiki/Salem_Municipal_Airport_(Indiana),
I99,Alexandria Airport,US-IN,IN,Indiana,Alexandria,,small_airport,40.232498,-85.637497,900,NA,US,,no,,,I99,I99,,https://en.wikipedia.org/wiki/Alexandria_Airport_(Indiana),
IA24,Green Castle Airport,US-IA,IA,Iowa,Oxford,,small_airport,41.755001,-91.727699,750,NA,US,,no,,,IA24,IA24,,https://en.wikipedia.org/wiki/Green_Castle_Airport,
II99,Drake Field,US-IN,IN,Indiana,Walkerton,,small_airport,41.43640137,-86.47080231,730,NA,US,,no,,,II99,II99,,,
K00V,Meadow Lake Airport,US-CO,CO,Colorado,Colorado Springs,,small_airport,38.94580078,-104.5699997,6874,NA,US,,no,,,KFLY,FLY,http://www.2mla.com/,https://en.wikipedia.org/wiki/Meadow_Lake_Airport_(Colorado),00V
K03B,Mansfield Municipal Airport,US-MO,MO,Missouri,Mansfield,,small_airport,37.126834,-92.621594,1500,NA,US,,no,,,K03B,03B,,,MO14
K05C,Griffith-Merrillville Airport,US-IN,IN,Indiana,Griffith,,small_airport,41.519798,-87.399498,634,NA,US,,no,,,,05C,,https://en.wikipedia.org/wiki/Griffith-Merrillville_Airport,
K06C,Schaumburg Regional Airport,US-IL,IL,Illinois,Chicago/Schaumburg,,small_airport,41.98929977,-88.10119629,801,NA,US,,no,,,06C,06C,http://www.ci.schaumburg.il.us/trans/airport1/Pages/default.aspx,https://en.wikipedia.org/wiki/Schaumburg_Regional_Airport,EIT
K0A7,Hendersonville Airport,US-NC,NC,North Carolina,Hendersonville,,small_airport,35.308258,-82.432948,2084,NA,US,,no,,,,0A7,,,
K0A9,Elizabethton Municipal Airport,US-TN,TN,Tennessee,Elizabethton,,small_airport,36.371201,-82.173302,1593,NA,US,,no,,,,0A9,,https://en.wikipedia.org/wiki/Elizabethton_Municipal_Airport,
K0B5,Turners Falls Airport,US-MA,MA,Massachusetts,Montague,,small_airport,42.59140015,-72.52279663,356,NA,US,,no,,,0B5,0B5,http://turnersfallsairport.com/,https://en.wikipedia.org/wiki/Turners_Falls_Airport,
K0E0,Moriarty Municipal Airport,US-NM,NM,New Mexico,Moriarty,,small_airport,34.9751,-106.0028,6199,NA,US,,no,,,,0,,,
K0G7,Finger Lakes Regional Airport,US-NY,NY,New York,Seneca Falls,,small_airport,42.883598,-76.782246,492,NA,US,,no,,,,0G7,,https://en.wikipedia.org/wiki/Finger_Lakes_Regional_Airport,
K0R0,Columbia-Marion County Airport,US-MS,MS,Mississippi,Columbia,,small_airport,31.297001,-89.812798,265,NA,US,,no,,,K0R0,0R0,http://www.marioncountyms.com/columbia-marion-county-airport,,
K0R3,Abbeville Chris Crusta Memorial Airport,US-LA,LA,Louisiana,Abbeville,,small_airport,29.97579956,-92.084198,16,NA,US,,no,,,KIYA,IYA,,https://en.wikipedia.org/wiki/Abbeville_Chris_Crusta_Memorial_Airport,0R3
K0S9,Jefferson County International Airport,US-WA,WA,Washington,Port Townsend,,small_airport,48.05379868,-122.810997,108,NA,US,,no,,TWD,K0S9,0S9,http://www.portofpt.com/airport.htm,https://en.wikipedia.org/wiki/Jefferson_County_International_Airport,
K0W3,Harford County Airport,US-MD,MD,Maryland,Churchville,,small_airport,39.566799,-76.2024,409,NA,US,,no,,,K0W3,0W3,,https://en.wikipedia.org/wiki/Harford_County_Airport,
K10C,Galt Field,US-IL,IL,Illinois,Wonder Lake,,small_airport,42.402735,-88.376942,875,NA,US,,no,,,K10C,10C,,https://en.wikipedia.org/wiki/Galt_Field,
K12D,Tower Municipal Airport,US-MN,MN,Minnesota,Tower,,small_airport,47.818154,-92.286099,1369,NA,US,,no,,,K12D,12D,,https://en.wikipedia.org/wiki/Tower_Municipal_Airport,
K12N,Aeroflex-Andover Airport,US-NJ,NJ,New Jersey,Andover,,small_airport,41.008598,-74.737999,583,NA,US,,no,,,,12N,https://www.andoverflight.com/airport.php,https://en.wikipedia.org/wiki/Aeroflex%E2%80%93Andover_Airport,
K12V,Ona Airpark,US-WV,WV,West Virginia,Milton,,small_airport,38.4408989,-82.20079803,572,NA,US,,no,,,K12V,12V,,,
K14A,Lake Norman Airpark,US-NC,NC,North Carolina,Mooresville,,small_airport,35.61299896,-80.8993988,839,NA,US,,no,,,K14A,14A,,,
K14G,Fremont Airport,US-OH,OH,Ohio,Fremont,,small_airport,41.333099,-83.161201,663,NA,US,,no,,,K14G,14G,,https://en.wikipedia.org/wiki/Fremont_Airport,
K15J,Cook County Airport,US-GA,GA,Georgia,Adel,,small_airport,31.1378,-83.4533,236,NA,US,,no,,,15J,15J,,https://en.wikipedia.org/wiki/Cook_County_Airport,
K16G,Seneca County Airport,US-OH,OH,Ohio,Tiffin,,small_airport,41.094101,-83.212502,786,NA,US,,no,,,K16G,16G,,https://en.wikipedia.org/wiki/Seneca_County_Airport,
K16J,Dawson Municipal Airport,US-GA,GA,Georgia,Dawson,,small_airport,31.743299,-84.419296,333,NA,US,,no,,,,16J,,,
K17G,Port Bucyrus-Crawford County Airport,US-OH,OH,Ohio,Bucyrus,,small_airport,40.781803,-82.974408,1003,NA,US,,no,,,,17G,https://www.cityofbucyrusoh.us/port-bucyrus-crawford-county-airport,https://en.wikipedia.org/wiki/Port_Bucyrus-Crawford_County_Airport,
K17N,Cross Keys Airport,US-NJ,NJ,New Jersey,Cross Keys,,small_airport,39.705502,-75.032997,162,NA,US,,no,,,K17N,17N,,https://en.wikipedia.org/wiki/Cross_Keys_Airport,
K18A,Franklin County Airport,US-GA,GA,Georgia,Canon,,small_airport,34.340099,-83.133499,890,NA,US,,no,,,K18A,18A,,https://en.wikipedia.org/wiki/Franklin_County_Airport_(Georgia),
K1A0,Dallas Bay Sky Park Airport,US-TN,TN,Tennessee,Hixson,,small_airport,35.18797,-85.176755,690,NA,US,,no,,,1AA0,1AA0,,https://en.wikipedia.org/wiki/Dallas_Bay_Skypark,1A0
K1A5,Macon County Airport,US-NC,NC,North Carolina,Franklin,,small_airport,35.22259903,-83.41899872,2020,NA,US,,no,,,K1A5,1A5,,https://en.wikipedia.org/wiki/Macon_County_Airport,
K1A9,Prattville - Grouby Field,US-AL,AL,Alabama,Prattville,,small_airport,32.438702,-86.512703,225,NA,US,,no,,,K1A9,1A9,,https://en.wikipedia.org/wiki/Prattville%E2%80%93Grouby_Field,Autauga County
K1B1,Columbia County Airport,US-NY,NY,New York,Hudson,,small_airport,42.291302,-73.710297,198,NA,US,,no,,HCC,K1B1,1B1,,https://en.wikipedia.org/wiki/Columbia_County_Airport,
K1BT,Bonne Terre Municipal Airport,US-MO,MO,Missouri,Bonne Terre,,small_airport,37.919055,-90.57525,922,NA,US,,no,,,K1BT,1BT,,,
K1C5,Bolingbrook's Clow International Airport,US-IL,IL,Illinois,Bolingbrook,,small_airport,41.69599915,-88.1292038,670,NA,US,,no,,,K1C5,1C5,,https://en.wikipedia.org/wiki/Bolingbrook's_Clow_International_Airport,
K1G0,Wood County Airport,US-OH,OH,Ohio,Bowling Green,,small_airport,41.390999,-83.630096,673,NA,US,,no,,,K1G0,1G0,,https://en.wikipedia.org/wiki/Wood_County_Airport_(Ohio),
K1G3,Kent State University Airport,US-OH,OH,Ohio,Kent,,small_airport,41.151402,-81.4151,1134,NA,US,,no,,,K1G3,1G3,,https://en.wikipedia.org/wiki/Kent_State_University_Airport,
K1G5,Medina Municipal Airport,US-OH,OH,Ohio,Medina,,small_airport,41.131401,-81.7649,1190,NA,US,,no,,,K1G5,1G5,,https://en.wikipedia.org/wiki/Medina_Municipal_Airport,Freedom Field
K1H0,Creve Coeur Airport,US-MO,MO,Missouri,St Louis,,small_airport,38.726799,-90.508301,463,NA,US,,no,,,K1H0,1H0,https://www.crevecoeurairport.com/,https://en.wikipedia.org/wiki/Creve_Coeur_Airport,
K1L3,Searchlight Airport,US-NV,NV,Nevada,Searchlight,,small_airport,35.44440079,-114.9089966,3410,NA,US,,no,,,K1L3,1L3,,https://en.wikipedia.org/wiki/Searchlight_Airport,
K1L8,General Dick Stout Field,US-UT,UT,Utah,Hurricane,,small_airport,37.138901,-113.306,3347,NA,US,,no,,,K1L8,1L8,,https://en.wikipedia.org/wiki/Hurricane_Municipal_Airport,
